ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-41167N|uniprotkb:O43566	DIP-59090N|uniprotkb:P59215	 -	-	-	-	MI:0419(gtpase assay)	-	pubmed:21685921|pubmed:DIP-14650S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-187024E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59191N|refseq:NP_001120791|uniprotkb:B2B9B0	DIP-36896N|uniprotkb:P62989	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21113149|pubmed:DIP-14752S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-187248E	dip-quality-status:core	dip:0004(small scale)		-
DIP-588N|uniprotkb:P04896	DIP-37029N|refseq:NP_112249|uniprotkb:P54311	 -	-	-	-	MI:0096(pull down)	-	pubmed:21772288|pubmed:DIP-14716S	taxid:9913(Bos taurus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-187347E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5994N|refseq:NP_062055	DIP-5994N|refseq:NP_062055	-	-	-	-	MI:0071(molecular sieving)|MI:0055(fluorescent resonance energy transfer)|MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)	-	pubmed:21857666|pubmed:DIP-14666S|pubmed:21857666|pubmed:DIP-14666S|pubmed:21857666|pubmed:DIP-14666S|pubmed:21857666|pubmed:DIP-14666S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-187055E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-5994N|refseq:NP_062055	DIP-44088N|refseq:NP_003329|uniprotkb:P51668	 -	-	-	-	MI:0998(deubiquitinase assay)|MI:0096(pull down)	-	pubmed:21857666|pubmed:DIP-14666S|pubmed:21857666|pubmed:DIP-14666S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0204(deubiquitination reaction)|MI:0915(physical association)	MI:0465(dip)	DIP-187059E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-57088N|uniprotkb:P04775	DIP-59128N|uniprotkb:P07463	 -	-	-	-	MI:0077(nuclear magnetic resonance)|MI:0017(classical fluorescence spectroscopy)	-	pubmed:21439835|pubmed:DIP-14691S|pubmed:21439835|pubmed:DIP-14691S	taxid:10116(Rattus norvegicus)	taxid:5888(Paramecium tetraurelia)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-187144E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59214N|refseq:NP_001178792|uniprotkb:Q9QVC8	DIP-41779N|uniprotkb:P19332	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20133804|pubmed:DIP-14784S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-187337E	dip-quality-status:core	dip:0004(small scale)		-
DIP-766N|uniprotkb:P61765	DIP-29191N|refseq:NP_074052|uniprotkb:Q62768	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:22000513|pubmed:DIP-15007S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-187814E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29191N|refseq:NP_074052|uniprotkb:Q62768	DIP-108N|refseq:NP_446240|uniprotkb:P32851	 -	-	-	-	MI:0077(nuclear magnetic resonance)	-	pubmed:22000513|pubmed:DIP-15007S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-187815E	dip-quality-status:core	dip:0004(small scale)		-
DIP-32990N|refseq:NP_058894|uniprotkb:P35465	DIP-59420N	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:22153498|pubmed:DIP-15016S	taxid:10116(Rattus norvegicus)	taxid:-2(chemical synthesis)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-187844E	dip-quality-status:core	dip:0004(small scale)		-
DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	-	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0071(molecular sieving)|MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0071(molecular sieving)|MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0071(molecular sieving)|MI:0017(classical fluorescence spectroscopy)|MI:0071(molecular sieving)|MI:0067(light scattering)|MI:0071(molecular sieving)|MI:0030(cross-linking study)|MI:0030(cross-linking study)|MI:0410(electron tomography)	-	pubmed:25103407|pubmed:DIP-17720S|pubmed:25103407|pubmed:DIP-17720S|pubmed:25103407|pubmed:DIP-17720S|pubmed:19946266|pubmed:DIP-14881S|pubmed:19946266|pubmed:DIP-14881S|pubmed:25103407|pubmed:DIP-17720S|pubmed:19946266|pubmed:DIP-14881S|pubmed:25103407|pubmed:DIP-17720S|pubmed:25103407|pubmed:DIP-17720S|pubmed:19946266|pubmed:DIP-14881S|pubmed:25103407|pubmed:DIP-17720S|pubmed:25119039|pubmed:DIP-16963S|pubmed:19946266|pubmed:DIP-14881S|pubmed:25103407|pubmed:DIP-17720S|pubmed:19617541|pubmed:DIP-16600S|pubmed:19617541|pubmed:DIP-16600S|pubmed:19946266|pubmed:DIP-14881S|pubmed:25103407|pubmed:DIP-17720S|pubmed:25119039|pubmed:DIP-16963S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-187538E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59341N	DIP-40957N|uniprotkb:P18266	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20534517|pubmed:DIP-14933S	taxid:-2(chemical synthesis)	taxid:10116(Rattus norvegicus)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-187647E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59342N	DIP-40957N|uniprotkb:P18266	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20534517|pubmed:DIP-14933S	taxid:-2(chemical synthesis)	taxid:10116(Rattus norvegicus)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-187648E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5994N|refseq:NP_062055	DIP-32709N|refseq:NP_003202|uniprotkb:Q13569	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20696907|pubmed:DIP-14968S|pubmed:20696907|pubmed:DIP-14968S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-187710E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-5994N|refseq:NP_062055	DIP-6130N|refseq:NP_001632|uniprotkb:P27695	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20696907|pubmed:DIP-14968S|pubmed:20696907|pubmed:DIP-14968S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-187711E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59370N|refseq:NP_036960|uniprotkb:P54287	DIP-41587N|uniprotkb:P55040	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:20679232|pubmed:DIP-14964S|pubmed:20679232|pubmed:DIP-14964S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-187702E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-30952N|refseq:NP_001077280|uniprotkb:P19491	DIP-59340N|uniprotkb:B2GV74	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20534517|pubmed:DIP-14933S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-187774E	dip-quality-status:core	dip:0004(small scale)		-
DIP-30929N|refseq:NP_113796|uniprotkb:P19490	DIP-59340N|uniprotkb:B2GV74	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20534517|pubmed:DIP-14933S|pubmed:20534517|pubmed:DIP-14933S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-187646E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-38519N|refseq:NP_035195|uniprotkb:O35973	DIP-47809N|refseq:NP_620691|uniprotkb:Q9DC28	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21179498|pubmed:DIP-15110S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-188211E	dip-quality-status:core	dip:0004(small scale)		-
DIP-47809N|refseq:NP_620691|uniprotkb:Q9DC28	DIP-38518N|refseq:NP_035196|uniprotkb:O54943	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:21179498|pubmed:DIP-15110S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-188213E	dip-quality-status:core	dip:0004(small scale)		-
DIP-44833N|refseq:NP_031937|uniprotkb:O35393	DIP-29117N|uniprotkb:P63086	 -	-	-	-	MI:0096(pull down)	-	pubmed:20410461|pubmed:DIP-15146S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-188377E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46223N|refseq:NP_037041|uniprotkb:P34080	DIP-249N|uniprotkb:P45983	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20139300|pubmed:DIP-15127S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-188315E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46223N|refseq:NP_037041|uniprotkb:P34080	DIP-30985N|refseq:NP_002737|uniprotkb:P27361	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20139300|pubmed:DIP-15127S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-188316E	dip-quality-status:core	dip:0004(small scale)		-
DIP-46223N|refseq:NP_037041|uniprotkb:P34080	DIP-30987N|uniprotkb:Q16539	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20139300|pubmed:DIP-15127S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-188317E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41848N|refseq:NP_035938|uniprotkb:P27577	DIP-29117N|uniprotkb:P63086	 -	-	-	-	MI:0424(protein kinase assay)	-	pubmed:20534573|pubmed:DIP-15151S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0217(phosphorylation reaction)	MI:0465(dip)	DIP-188392E	dip-quality-status:core	dip:0004(small scale)		-
DIP-392N|uniprotkb:Q00987	DIP-40507N|refseq:NP_037043|uniprotkb:P29067	 -	-	-	-	MI:0055(fluorescent resonance energy transfer)|MI:0007(anti tag coimmunoprecipitation)|MI:0012(bioluminescence resonance energy transfer)	-	pubmed:17984062|pubmed:DIP-16869S|pubmed:17984062|pubmed:DIP-16869S|pubmed:17984062|pubmed:DIP-16869S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-188574E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-30929N|refseq:NP_113796|uniprotkb:P19490	DIP-59551N|refseq:NP_001020303|uniprotkb:Q5BJU5	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20805473|pubmed:DIP-15168S|pubmed:20805473|pubmed:DIP-15168S|pubmed:20805473|pubmed:DIP-15168S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-188617E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-46811N|uniprotkb:Q63155	DIP-46151N|uniprotkb:Q9HD67	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0065(isothermal titration calorimetry)|MI:0096(pull down)	-	pubmed:21321230|pubmed:DIP-15230S|pubmed:21321230|pubmed:DIP-15230S|pubmed:21321230|pubmed:DIP-15230S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-188851E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31970N|refseq:NP_001106796|uniprotkb:P23818	DIP-41720N|uniprotkb:Q71RJ2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20805473|pubmed:DIP-15168S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-188620E	dip-quality-status:core	dip:0004(small scale)		-
DIP-37053N|refseq:NP_445809|uniprotkb:Q9WU82	DIP-48902N|refseq:NP_112623|uniprotkb:Q9Z1Y3	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22106313|pubmed:DIP-15441S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189475E	dip-quality-status:core	dip:0004(small scale)		-
DIP-42063N|uniprotkb:P23471	DIP-53082N|uniprotkb:Q63198	 -	-	-	-	MI:0096(pull down)	-	pubmed:21969550|pubmed:DIP-15353S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189169E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59714N|uniprotkb:Q12860	DIP-59715N|uniprotkb:Q62656	 -	-	-	-	MI:0096(pull down)	-	pubmed:21969550|pubmed:DIP-15353S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189170E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40808N|refseq:NP_037042|uniprotkb:P29066	DIP-33401N|uniprotkb:P35348	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22089237|pubmed:DIP-15358S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0915(physical association)	MI:0465(dip)	DIP-189178E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59689N|refseq:NP_783169|uniprotkb:Q7TPK6	DIP-59688N|uniprotkb:Q9JMI9	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21670282|pubmed:DIP-15315S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189023E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59551N|refseq:NP_001020303|uniprotkb:Q5BJU5	DIP-31970N|refseq:NP_001106796|uniprotkb:P23818	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20805473|pubmed:DIP-15168S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)	MI:0465(dip)	DIP-189088E	dip-quality-status:core	dip:0004(small scale)		-
DIP-41720N|uniprotkb:Q71RJ2	DIP-59551N|refseq:NP_001020303|uniprotkb:Q5BJU5	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:20805473|pubmed:DIP-15168S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189089E	dip-quality-status:core	dip:0004(small scale)		-
DIP-17016N|uniprotkb:O08816	DIP-59488N|uniprotkb:Q8X2D5	 -	-	-	-	MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)|MI:0096(pull down)|MI:0028(cosedimentation in solution)	-	pubmed:18650806|pubmed:DIP-15483S|pubmed:18650806|pubmed:DIP-15483S|pubmed:18650806|pubmed:DIP-15483S|pubmed:18650806|pubmed:DIP-15483S	taxid:10116(Rattus norvegicus)	taxid:83334(Escherichia coli O157:H7)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189577E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-17016N|uniprotkb:O08816	DIP-17016N|uniprotkb:O08816	-	-	-	-	MI:0096(pull down)	-	pubmed:18650806|pubmed:DIP-15483S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189578E	dip-quality-status:core	dip:0004(small scale)		-
DIP-5715N|refseq:NP_036742|uniprotkb:P07174	DIP-346N|refseq:NP_002518|uniprotkb:P20783	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0107(surface plasmon resonance)|MI:0028(cosedimentation in solution)	-	pubmed:18596692|pubmed:DIP-15486S|pubmed:18596692|pubmed:DIP-15486S|pubmed:18596692|pubmed:DIP-15486S|pubmed:18596692|pubmed:DIP-15486S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189583E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-5715N|refseq:NP_036742|uniprotkb:P07174	DIP-59840N|refseq:NP_001106168|uniprotkb:P01139	 -	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:18596692|pubmed:DIP-15486S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189584E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29528N|uniprotkb:P62161	DIP-59845N|uniprotkb:H6VQ94	 -	-	-	-	MI:0017(classical fluorescence spectroscopy)|MI:0028(cosedimentation in solution)|MI:0017(classical fluorescence spectroscopy)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0065(isothermal titration calorimetry)	-	pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S|pubmed:22579256|pubmed:DIP-15500S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189617E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-59866N|refseq:NP_037076|uniprotkb:P30729	DIP-36293N|refseq:NP_036833|uniprotkb:P18090	 -	-	-	-	MI:0813(proximity enzyme linked immunosorbent assay)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22723743|pubmed:DIP-15522S|pubmed:22723743|pubmed:DIP-15522S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189648E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59867N|refseq:NP_058687|uniprotkb:P15823	DIP-59866N|refseq:NP_037076|uniprotkb:P30729	 -	-	-	-	MI:0813(proximity enzyme linked immunosorbent assay)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22723743|pubmed:DIP-15522S|pubmed:22723743|pubmed:DIP-15522S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189649E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-29715N|refseq:NP_001007236|uniprotkb:P29994	DIP-46162N|refseq:NP_083157|uniprotkb:Q3U182	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:22495310|pubmed:DIP-15531S|pubmed:22495310|pubmed:DIP-15531S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189694E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-59941N|refseq:NP_001099190|uniprotkb:Q63746	DIP-38953N|refseq:NP_954888|uniprotkb:Q7TQN4	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21464294|pubmed:DIP-15580S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189951E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38953N|refseq:NP_954888|uniprotkb:Q7TQN4	DIP-40507N|refseq:NP_037043|uniprotkb:P29067	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21464294|pubmed:DIP-15580S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189952E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59957N	DIP-59956N|refseq:NP_001102437|uniprotkb:P20789	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:23051748|pubmed:DIP-15596S	taxid:-2(chemical synthesis)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-189973E	dip-quality-status:core	dip:0004(small scale)		-
DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	-	-	-	-	MI:0114(x-ray crystallography)|MI:0007(anti tag coimmunoprecipitation)|MI:0030(cross-linking study)	-	pubmed:22407013|pubmed:DIP-15568S|pubmed:22407013|pubmed:DIP-15568S|pubmed:22407013|pubmed:DIP-15568S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-189818E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-31124N|refseq:NP_002573|uniprotkb:O95453	DIP-29842N|refseq:NP_766633|uniprotkb:Q8K3Y6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:22407013|pubmed:DIP-15568S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-189819E	dip-quality-status:core	dip:0004(small scale)		-
DIP-59942N|refseq:NP_036743|uniprotkb:Q06518	DIP-38953N|refseq:NP_954888|uniprotkb:Q7TQN4	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:21464294|pubmed:DIP-15580S|pubmed:21464294|pubmed:DIP-15580S|pubmed:21464294|pubmed:DIP-15580S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-189867E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-41142N|uniprotkb:P19493	DIP-41142N|uniprotkb:P19493	-	-	-	-	MI:0114(x-ray crystallography)|MI:0055(fluorescent resonance energy transfer)|MI:0055(fluorescent resonance energy transfer)|MI:0055(fluorescent resonance energy transfer)|MI:0055(fluorescent resonance energy transfer)	-	pubmed:22959625|pubmed:DIP-15614S|pubmed:20457909|pubmed:DIP-16189S|pubmed:20457909|pubmed:DIP-16189S|pubmed:20457909|pubmed:DIP-16189S|pubmed:20457909|pubmed:DIP-16189S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-190049E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-60007N|refseq:NP_036701|uniprotkb:P13264	DIP-60007N|refseq:NP_036701|uniprotkb:P13264	-	-	-	-	MI:0071(molecular sieving)	-	pubmed:22228304|pubmed:DIP-15669S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-190204E	dip-quality-status:core	dip:0004(small scale)		-
